Object Name,Discovery Year,host name
CFBDSIR J145829+101343 b,2011,K2-348
CFHTWIR-Oph 98,2021,CFHTWIR-Oph 98 A
CFHTWIR-Oph 98 b,2021,2MASS J02192210-3925225
CHXR 73,2006,CHXR 73
CHXR 73 b,2006,K2-38
CI Tau,2024,CI Tau
CI Tau c,2024,K2-119
COCONUTS-2,2021,COCONUTS-2 A
COCONUTS-2 b,2021,K2-339
CoRoT-1,2008,CoRoT-1
CoRoT-1 b,2008,BD+49 828
CoRoT-10,2010,CoRoT-10
CoRoT-10 b,2010,Kepler-1025
CoRoT-11,2010,CoRoT-11
CoRoT-11 b,2010,bet Cnc
CoRoT-12,2010,CoRoT-12
CoRoT-12 b,2010,BD-17 63
CoRoT-13,2010,CoRoT-13
CoRoT-13 b,2010,Kepler-586
CoRoT-14,2010,CoRoT-14
CoRoT-14 b,2010,K2-400
CoRoT-16,2011,CoRoT-16
CoRoT-16 b,2011,HIP 91258
CoRoT-17,2011,CoRoT-17
CoRoT-17 b,2011,Kepler-1002
CoRoT-18,2011,CoRoT-18
CoRoT-18 b,2011,CoRoT-35
CoRoT-19,2011,CoRoT-19
CoRoT-19 b,2011,CoRoTID 223977153
CoRoT-2,2008,CoRoT-2
CoRoT-2 b,2008,BD+63 1405
CoRoT-20,2011,CoRoT-20
CoRoT-20 b,2011,Kepler-599
CoRoT-20 c,2018,K2-404
CoRoT-21,2012,CoRoT-21
CoRoT-21 b,2012,CoRoT-4
CoRoT-22,2014,CoRoT-22
CoRoT-22 b,2014,Kepler-732
CoRoT-23,2011,CoRoT-23
CoRoT-23 b,2011,KELT-3
CoRoT-24,2014,CoRoT-24
CoRoT-24 b,2014,Kepler-816
CoRoT-24 c,2014,Kepler-725
CoRoT-25,2013,CoRoT-25
CoRoT-25 b,2013,K2-48
CoRoT-26,2013,CoRoT-26
CoRoT-26 b,2013,gam Cep
CoRoT-27,2014,CoRoT-27
CoRoT-27 b,2014,Kepler-1010
CoRoT-28,2015,CoRoT-28
CoRoT-28 b,2015,Kepler-563
CoRoT-29,2015,CoRoT-29
CoRoT-29 b,2015,Kepler-581
CoRoT-3,2008,CoRoT-3
CoRoT-3 b,2008,Kepler-1006
CoRoT-30,2020,CoRoT-30
CoRoT-30 b,2020,Kepler-1007
CoRoT-31,2020,CoRoT-31
CoRoT-31 b,2020,BD-08 2823
CoRoT-35,2022,CoRoT-35
CoRoT-35 b,2022,51 Eri
CoRoT-36,2022,CoRoT-36
CoRoT-36 b,2022,CI Tau
CoRoT-4,2008,CoRoT-4
CoRoT-4 b,2008,HD 93083
CoRoT-5,2009,CoRoT-5
CoRoT-5 b,2009,CoRoT-16
CoRoT-6,2009,CoRoT-6
CoRoT-6 b,2009,K2-111
CoRoT-7,2009,CoRoT-7
CoRoT-7 b,2009,CoRoT-11
CoRoT-7 c,2009,MASCARA-1
CoRoT-7 d,2022,Kepler-761
CoRoT-8,2010,CoRoT-8
CoRoT-8 b,2010,Kepler-673
CoRoT-9,2009,CoRoT-9
CoRoT-9 b,2009,K2-98
CoRoTID 223977153,2017,CoRoTID 223977153
CoRoTID 223977153 b,2017,Kepler-674
CT Cha,2007,CT Cha
CT Cha b,2007,14 Her
DE CVn,2018,DE CVn
DE CVn b,2018,K2-349
DENIS-P J082303.1-491201,2013,DENIS-P J082303.1-491201
DENIS-P J082303.1-491201 b,2013,kap And
DH Tau,2004,DH Tau
DH Tau b,2004,14 And
DMPP-1,2019,DMPP-1
DMPP-1 b,2019,Kepler-711
DMPP-1 c,2019,KMT-2021-BLG-1150L
DMPP-1 d,2019,CoRoT-28
DMPP-1 e,2019,YZ Cet
DMPP-2,2019,DMPP-2
DMPP-2 b,2019,DP Leo
DMPP-3,2019,DMPP-3 A
DMPP-3 A b,2019,Gl 49
DMPP-4,2023,DMPP-4
DMPP-4 b,2023,Kepler-846
DP Leo,2009,DP Leo
DP Leo b,2009,K2-223
DS Tuc,2019,DS Tuc A
DS Tuc A b,2019,Kepler-693
EPIC 201170410,2020,EPIC 201170410
EPIC 201170410.02,2020,HD 10442
EPIC 201238110,2019,EPIC 201238110
EPIC 201238110 b,2019,XO-4
EPIC 201427007,2021,EPIC 201427007
EPIC 201427007 b,2021,GJ 3138
EPIC 201497682,2019,EPIC 201497682
EPIC 201497682 b,2019,HIP 12961
EPIC 201595106,2021,EPIC 201595106
EPIC 201595106 b,2021,EPIC 249893012
EPIC 201615463 c,2019,HATS-29
EPIC 201754305 d,2019,HD 105779
EPIC 201757695,2020,EPIC 201757695
EPIC 201757695.02,2020,HD 9446
EPIC 201833600 c,2019,HD 108341
EPIC 201841433,2019,EPIC 201841433
EPIC 201841433 b,2019,HD 104985
EPIC 205950854 c,2019,HAT-P-53
EPIC 206024342,2019,EPIC 206024342
EPIC 206024342 b,2019,BD-14 3065 A
EPIC 206024342 c,2021,Gliese 12
EPIC 206024342 d,2021,OGLE-2012-BLG-0358L
EPIC 206032309,2019,EPIC 206032309
EPIC 206032309 b,2019,HD 107148
EPIC 206042996,2019,EPIC 206042996
EPIC 206042996 b,2019,BD-17 63
EPIC 206042996 c,2021,HATS-4
EPIC 206215704,2019,EPIC 206215704
EPIC 206215704 b,2019,HD 108863
EPIC 206317286,2019,EPIC 206317286
EPIC 206317286 b,2019,HD 89744
EPIC 206317286 c,2022,TrES-4
EPIC 211822797,2016,EPIC 211822797
EPIC 211822797 b,2016,WASP-91
EPIC 211945201,2018,EPIC 211945201
EPIC 211945201 b,2018,Kepler-692
EPIC 212297394,2019,EPIC 212297394
EPIC 212297394 b,2019,GJ 367
EPIC 212297394 c,2021,TOI-1416
EPIC 212424622,2019,EPIC 212424622
EPIC 212424622 b,2019,TOI-672
EPIC 212499991,2019,EPIC 212499991
EPIC 212499991 b,2019,EPIC 201238110
EPIC 212587672,2019,EPIC 212587672
EPIC 212587672 b,2019,HATS-11
EPIC 212587672 c,2021,TOI-1246
EPIC 212624936,2021,EPIC 212624936
EPIC 212624936 b,2021,HATS-40
EPIC 212624936 c,2021,TOI-1278
EPIC 212737443,2019,EPIC 212737443
EPIC 212737443 b,2019,OGLE-2014-BLG-0319L
EPIC 212737443 c,2019,NGC 2682 YBP 1194
EPIC 220492298,2021,EPIC 220492298
EPIC 220492298 b,2021,HD 109749
EPIC 220554210 c,2019,EPIC 201427007
EPIC 220674823,2016,EPIC 220674823
EPIC 220674823 b,2016,BD+55 362
EPIC 220674823 c,2016,Lupus-TR-3
EPIC 228836835,2021,EPIC 228836835
EPIC 228836835 b,2021,HATS-8
EPIC 229004835,2023,EPIC 229004835
EPIC 229004835 b,2023,TOI-1224
EPIC 246851721,2018,EPIC 246851721
EPIC 246851721 b,2018,KELT-23 A
EPIC 248847494,2018,EPIC 248847494
EPIC 248847494 b,2018,K2-34
EPIC 249893012,2020,EPIC 249893012
EPIC 249893012 b,2020,WASP-156
EPIC 249893012 c,2020,Kepler-820
EPIC 249893012 d,2020,Kepler-794
eps CrB,2016,eps CrB
eps CrB b,2016,WASP-110
eps Eri,2016,eps Eri
eps Eri b,2016,CoRoTID 223977153
eps Ind,2014,eps Ind A
eps Ind A b,2014,HAT-P-1
eps Tau,2014,eps Tau
eps Tau b,2014,NGTS-30
FU Tau,2008,FU Tau
FU Tau b,2008,K2-405
G 196-3,2024,G 196-3
G 196-3 b,2024,K2-80
G 264-012,2021,G 264-012
G 264-012 b,2021,HAT-P-12
G 264-012 c,2021,81 Cet
G 9-40,2019,G 9-40
G 9-40 b,2019,WD 1856+534
Gaia-1,2022,Gaia-1
Gaia-1 b,2022,HAT-P-28
Gaia-2,2022,Gaia-2
Gaia-2 b,2022,CoRoT-29
Gaia22dkvL,2024,Gaia22dkvL
Gaia22dkvL b,2024,gam1 Leo
gam Cep,2014,gam Cep
gam Cep b,2014,NN Ser
gam Leo,2016,gam1 Leo
gam Lib,2016,gam Lib
gam Lib b,2016,KMT-2016-BLG-2321L
gam Lib c,2016,GJ 3942
gam Psc,2016,gam Psc
gam Psc b,2016,TIC 237913194
gam1 Leo b,2016,OGLE-2018-BLG-1700L
GJ 1002,2022,GJ 1002
GJ 1002 b,2022,HD 106252
GJ 1002 c,2022,HATS-9
GJ 1061,2020,GJ 1061
GJ 1061 b,2020,HD 100546
GJ 1061 c,2020,HATS-52
GJ 1061 d,2020,HATS-60
GJ 1132,2015,GJ 1132
GJ 1132 b,2015,HATS-45
GJ 1132 c,2018,GJ 832
GJ 1148,2010,GJ 1148
GJ 1148 b,2010,kap CrB
GJ 1148 c,2017,Kepler-591
GJ 1151,2023,GJ 1151
GJ 1151 c,2023,KMT-2018-BLG-0030L
GJ 1214,2009,GJ 1214
GJ 1214 b,2009,MOA-2020-BLG-135L
GJ 1252,2020,GJ 1252
GJ 1252 b,2020,HATS-44
GJ 1265,2018,GJ 1265
GJ 1265 b,2018,NSVS 14256825
GJ 143,2019,GJ 143
GJ 143 b,2019,OGLE-2007-BLG-349L A
GJ 15,2014,GJ 15 A
GJ 15 A b,2014,G 264-012
GJ 15 A c,2018,Kepler-668
GJ 160.2,2014,GJ 160.2
GJ 160.2 b,2014,KMT-2019-BLG-1715L
GJ 163,2013,GJ 163
GJ 163 b,2013,KMT-2018-BLG-0087L
GJ 163 c,2013,OGLE-2018-BLG-0677L
GJ 163 d,2013,Kepler-687
GJ 179,2009,GJ 179
GJ 179 b,2009,GPX-1
GJ 180,2014,GJ 180
GJ 180 b,2014,PDS 70
GJ 180 c,2014,PSR B1257+12
GJ 180 d,2020,NGTS-24
GJ 2030,2022,GJ 2030
GJ 2030 b,2022,WASP-101
GJ 2030 c,2022,K2-380
GJ 2056,2020,GJ 2056
GJ 2056 b,2020,Kepler-771
GJ 229,2020,GJ 229
GJ 229 A c,2020,LHS 3154
GJ 229 b,2014,Kepler-790
GJ 238,2024,GJ 238
GJ 238 b,2024,HIP 38594
GJ 251,2020,GJ 251
GJ 251 b,2020,24 Boo
GJ 27.1,2014,GJ 27.1
GJ 27.1 b,2014,Kepler-822
GJ 273,2017,GJ 273
GJ 273 b,2017,GJ 238
GJ 273 c,2017,HD 103891
GJ 3021,2000,GJ 3021
GJ 3021 b,2000,HIP 97233
GJ 3082,2020,GJ 3082
GJ 3082 b,2020,MOA-2010-BLG-353L
GJ 3090,2022,GJ 3090
GJ 3090 b,2022,TOI-849
GJ 3138,2017,GJ 3138
GJ 3138 b,2017,HATS-53
GJ 3138 c,2017,WTS-2
GJ 3138 d,2017,KMT-2018-BLG-1743L
GJ 317,2007,GJ 317
GJ 317 b,2007,HD 93963 A
GJ 317 c,2018,HATS-45
GJ 3222 b,2022,KIC 10068024
GJ 328,2013,GJ 328
GJ 328 b,2013,HD 9446
GJ 328 c,2023,Kepler-729
GJ 3293,2015,GJ 3293
GJ 3293 b,2015,Kepler-716
GJ 3293 c,2015,Kepler-733
GJ 3293 d,2017,NGTS-14 A
GJ 3293 e,2017,CoRoT-7
GJ 3323,2017,GJ 3323
GJ 3323 b,2017,HATS-24
GJ 3323 c,2017,HAT-P-45
GJ 3341,2015,GJ 3341
GJ 3341 b,2015,OGLE-2019-BLG-1492L
GJ 338,2020,GJ 338 B
GJ 338 B b,2020,KMT-2018-BLG-0247L
GJ 3470,2012,GJ 3470
GJ 3470 b,2012,Kepler-746
GJ 3473,2020,GJ 3473
GJ 3473 b,2020,HATS-10
GJ 3473 c,2020,nu Oct A
GJ 3512,2019,GJ 3512
GJ 3512 b,2019,DS Tuc A
GJ 3512 c,2020,Kepler-600
GJ 357,2019,GJ 357
GJ 357 b,2019,HATS-41
GJ 357 c,2019,CoRoT-23
GJ 357 d,2019,TOI-1174
GJ 3634,2010,GJ 3634
GJ 3634 b,2010,MASCARA-4
GJ 367,2021,GJ 367
GJ 367 b,2021,HIP 116454
GJ 367 c,2023,11 Com
GJ 367 d,2023,TOI-1227
GJ 3779,2018,GJ 3779
GJ 3779 b,2018,MOA-2015-BLG-337L
GJ 3929,2022,GJ 3929
GJ 3929 b,2022,HD 102272
GJ 3929 c,2022,TOI-1437
GJ 393,2021,GJ 393
GJ 393 b,2021,HATS-56
GJ 3942,2017,GJ 3942
GJ 3942 b,2017,OGLE-2015-BLG-1670L
GJ 3988,2023,GJ 3988
GJ 3988 b,2023,BD+14 4559
GJ 3998,2016,GJ 3998
GJ 3998 b,2016,HAT-P-14
GJ 3998 c,2016,tau Boo
GJ 411,2019,GJ 411
GJ 411 b,2019,GJ 536
GJ 414,2021,GJ 414 A
GJ 414 A b,2021,nu Oph
GJ 414 A c,2021,Kepler-625
GJ 422,2014,GJ 422
GJ 422 b,2014,KMT-2016-BLG-1397L
GJ 4276,2019,GJ 4276
GJ 4276 b,2019,Kepler-769
GJ 433,2011,GJ 433
GJ 433 b,2011,TOI-1231
GJ 433 c,2014,Kepler-678
GJ 433 d,2020,TOI-813
GJ 436,2004,GJ 436
GJ 436 b,2004,Kepler-772
GJ 463,2022,GJ 463
GJ 463 b,2022,K2-12
GJ 480,2020,GJ 480
GJ 480 b,2020,Kepler-817
GJ 486,2021,GJ 486
GJ 486 b,2021,HAT-P-64
GJ 504,2013,GJ 504
GJ 504 b,2013,K2-121
GJ 514,2022,GJ 514
GJ 514 b,2022,TOI-858 B
GJ 536,2016,GJ 536
GJ 536 b,2016,TOI-674
GJ 581,2005,GJ 581
GJ 581 b,2005,Kepler-779
GJ 581 c,2007,TOI-5704
GJ 581 e,2009,HATS-57
GJ 625,2017,GJ 625
GJ 625 b,2017,GJ 3323
GJ 649,2009,GJ 649
GJ 649 b,2009,Kepler-324
GJ 667,2012,GJ 667 C
GJ 667 C b,2012,TOI-1452
GJ 667 C c,2013,70 Vir
GJ 667 C e,2013,GJ 581
GJ 667 C f,2013,GJ 625
GJ 667 C g,2013,WASP-132
GJ 674,2007,GJ 674
GJ 674 b,2007,KMT-2016-BLG-1820L
GJ 676,2010,GJ 676 A
GJ 676 A b,2010,K2-183
GJ 676 A c,2016,K2-381
GJ 676 A d,2012,61 Vir
GJ 676 A e,2012,OGLE-2019-BLG-0954L
GJ 680 b,2022,K2-81
GJ 682,2014,GJ 682
GJ 682 b,2014,WASP-84
GJ 682 c,2014,L 168-9
GJ 685,2019,GJ 685
GJ 685 b,2019,KMT-2023-BLG-1743L
GJ 687,2014,GJ 687
GJ 687 b,2014,Kepler-76
GJ 687 c,2020,Kepler-774
GJ 720,2021,GJ 720 A
GJ 720 A b,2021,Kepler-808
GJ 724,2023,GJ 724
GJ 724 b,2023,KMT-2017-BLG-1146L
GJ 740,2021,GJ 740
GJ 740 b,2021,GJ 1252
GJ 806,2023,GJ 806
GJ 806 b,2023,HAT-P-35
GJ 806 c,2023,TOI-1386
GJ 832,2008,GJ 832
GJ 832 b,2008,GQ Lup
GJ 849,2006,GJ 849
GJ 849 b,2006,GJ 625
GJ 849 c,2014,GSC 06214-00210
GJ 86,1999,GJ 86
GJ 86 b,1999,K2-158
GJ 876,1998,GJ 876
GJ 876 b,1998,HD 94771
GJ 876 c,2000,GJ 317
GJ 876 d,2005,OGLE-2018-BLG-0567L
GJ 876 e,2010,Kepler-795
GJ 887,2020,GJ 887
GJ 887 b,2020,xi Aql
GJ 887 c,2020,NGTS-15
GJ 896,2022,GJ 896 A
GJ 896 A b,2022,HD 94834
GJ 900,2024,GJ 900 A
GJ 900 b,2024,K2-35
GJ 9066,2020,GJ 9066
GJ 9066 c,2020,Kepler-592
GJ 9404,2023,GJ 9404
GJ 9404 b,2023,Kepler-856
GJ 96,2018,GJ 96
GJ 96 b,2018,Kepler-74
GJ 9689,2020,GJ 9689
GJ 9689 b,2020,KMT-2021-BLG-1077L
GJ 9714 b,2022,K2-295
GJ 9827,2017,GJ 9827
GJ 9827 b,2017,GJ 676 A
GJ 9827 c,2017,HATS-69
GJ 9827 d,2017,WASP-14
Gl 378,2019,Gl 378
Gl 378 b,2019,Kepler-823
Gl 49,2019,Gl 49
Gl 49 b,2019,TOI-5293 A
Gl 686,2018,Gl 686
Gl 686 b,2018,OGLE-2023-BLG-0836L
Gliese 12,2024,Gliese 12
Gliese 12 b,2024,HD 89839
GPX-1,2021,GPX-1
GPX-1 b,2021,BD+60 1417
GQ Lup,2004,GQ Lup
GQ Lup b,2004,11 UMi
GSC 06214-00210,2010,GSC 06214-00210
GSC 06214-00210 b,2010,2MASS J04372171+2651014
GU Psc,2014,GU Psc
GU Psc b,2014,Gaia-2
HAT-P-1,2006,HAT-P-1
HAT-P-1 b,2006,CoRoT-3
HAT-P-11,2008,HAT-P-11
HAT-P-11 b,2008,Kepler-731
HAT-P-11 c,2018,HD 95086
HAT-P-12,2009,HAT-P-12
HAT-P-12 b,2009,Kepler-561
HAT-P-13,2009,HAT-P-13
HAT-P-13 b,2009,EPIC 212424622
HAT-P-13 c,2009,K2-382
HAT-P-14,2010,HAT-P-14
HAT-P-14 b,2010,CFBDSIR J145829+101343
HAT-P-15,2010,HAT-P-15
HAT-P-15 b,2010,KELT-18
HAT-P-16,2010,HAT-P-16
HAT-P-16 b,2010,DE CVn
HAT-P-17,2010,HAT-P-17
HAT-P-17 b,2010,KELT-4 A
HAT-P-17 c,2010,HIP 99770
HAT-P-18,2010,HAT-P-18
HAT-P-18 b,2010,Kepler-1017
HAT-P-19,2010,HAT-P-19
HAT-P-19 b,2010,Kepler-101
HAT-P-2,2007,HAT-P-2
HAT-P-2 b,2007,Kepler-565
HAT-P-2 c,2023,K2-350
HAT-P-20,2010,HAT-P-20
HAT-P-20 b,2010,Kepler-590
HAT-P-21,2010,HAT-P-21
HAT-P-21 b,2010,K2-340
HAT-P-22,2010,HAT-P-22
HAT-P-22 b,2010,K2-181
HAT-P-23,2010,HAT-P-23
HAT-P-23 b,2010,CoRoT-2
HAT-P-24,2010,HAT-P-24
HAT-P-24 b,2010,CoRoT-5
HAT-P-25,2010,HAT-P-25
HAT-P-25 b,2010,K2-220
HAT-P-26,2010,HAT-P-26
HAT-P-26 b,2010,Kepler-655
HAT-P-27,2011,HAT-P-27
HAT-P-27 b,2011,Kepler-1003
HAT-P-28,2011,HAT-P-28
HAT-P-28 b,2011,HATS-36
HAT-P-29,2011,HAT-P-29
HAT-P-29 b,2011,HIP 86221
HAT-P-3,2007,HAT-P-3
HAT-P-3 b,2007,Kepler-572
HAT-P-30,2011,HAT-P-30
HAT-P-30 b,2011,BD-13 2130
HAT-P-31,2011,HAT-P-31
HAT-P-31 b,2011,K2-401
HAT-P-32,2011,HAT-P-32
HAT-P-32 b,2011,1RXS J160929.1-210524
HAT-P-33,2011,HAT-P-33
HAT-P-33 b,2011,2MASS J03590986+2009361
HAT-P-34,2011,HAT-P-34
HAT-P-34 b,2011,HD 100777
HAT-P-35,2011,HAT-P-35
HAT-P-35 b,2011,CoRoT-23
HAT-P-36,2011,HAT-P-36
HAT-P-36 b,2011,DMPP-3 A
HAT-P-37,2011,HAT-P-37
HAT-P-37 b,2011,HIP 34222
HAT-P-38,2012,HAT-P-38
HAT-P-38 b,2012,Kepler-606
HAT-P-39,2012,HAT-P-39
HAT-P-39 b,2012,AU Mic
HAT-P-4,2007,HAT-P-4
HAT-P-4 b,2007,EPIC 212297394
HAT-P-40,2012,HAT-P-40
HAT-P-40 b,2012,BD+15 2940
HAT-P-41,2012,HAT-P-41
HAT-P-41 b,2012,17 Sco
HAT-P-42,2012,HAT-P-42
HAT-P-42 b,2012,DMPP-2
HAT-P-43,2012,HAT-P-43
HAT-P-43 b,2012,HAT-P-64
HAT-P-44,2014,HAT-P-44
HAT-P-44 b,2014,GJ 463
HAT-P-44 c,2014,K2-122
HAT-P-45,2014,HAT-P-45
HAT-P-45 b,2014,bet UMi
HAT-P-46,2014,HAT-P-46
HAT-P-46 b,2014,DMPP-1
HAT-P-49,2014,HAT-P-49
HAT-P-49 b,2014,AB Pic
HAT-P-5,2007,HAT-P-5
HAT-P-5 b,2007,HATS-38
HAT-P-50,2015,HAT-P-50
HAT-P-50 b,2015,DENIS-P J082303.1-491201
HAT-P-51,2015,HAT-P-51
HAT-P-51 b,2015,HATS-40
HAT-P-52,2015,HAT-P-52
HAT-P-52 b,2015,Kepler-1008
HAT-P-53,2015,HAT-P-53
HAT-P-53 b,2015,CoRoT-30
HAT-P-54,2015,HAT-P-54
HAT-P-54 b,2015,Kepler-57
HAT-P-55,2015,HAT-P-55
HAT-P-55 b,2015,CoRoT-27
HAT-P-56,2015,HAT-P-56
HAT-P-56 b,2015,BD+20 274
HAT-P-57,2015,HAT-P-57
HAT-P-57 b,2015,2MASS J21252752-8138278
HAT-P-58,2021,HAT-P-58
HAT-P-58 b,2021,CoRoT-24
HAT-P-59,2021,HAT-P-59
HAT-P-59 b,2021,K2-287
HAT-P-6,2007,HAT-P-6
HAT-P-6 b,2007,BD+55 362
HAT-P-60,2021,HAT-P-60
HAT-P-60 b,2021,70 Vir
HAT-P-61,2021,HAT-P-61
HAT-P-61 b,2021,Kepler-582
HAT-P-62,2021,HAT-P-62
HAT-P-62 b,2021,K2-79
HAT-P-63,2021,HAT-P-63
HAT-P-63 b,2021,K2-29
HAT-P-64,2021,HAT-P-64
HAT-P-64 b,2021,30 Ari B
HAT-P-65,2016,HAT-P-65
HAT-P-65 b,2016,8 UMi
HAT-P-66,2016,HAT-P-66
HAT-P-66 b,2016,AF Lep
HAT-P-67,2017,HAT-P-67
HAT-P-67 b,2017,16 Cyg B
HAT-P-68,2020,HAT-P-68
HAT-P-68 b,2020,K2-8
HAT-P-69,2019,HAT-P-69
HAT-P-69 b,2019,55 Cnc
HAT-P-7,2008,HAT-P-7
HAT-P-7 b,2008,BD+20 594
HAT-P-70,2019,HAT-P-70
