Planet Name,Planet Radius [Earth Radius],Duration of a day (hours),Orbital Period [days],Planetary Type,Gravity Strength,Has Biosphere,Star Name
CoRoT-29 b,10.088,4.84,2.85057,Proto Planet,Low,1,CoRoT-29
CoRoT-3 b,11.32,120.62,4.2568,Proto Planet,Low,1,CoRoT-3
CoRoT-30 b,11.31,53.12,9.06005,Gas Giant,High,0,CoRoT-30
CoRoT-31 b,16.365,117.4,4.62941,Ice Giant,High,0,CoRoT-31
CoRoT-35 b,18.831,23.45,3.22748,Dwarf Planet,Low,1,CoRoT-35
CoRoT-36 b,15.805,29.13,5.616531,Proto Planet,Low,1,CoRoT-36
CoRoT-4 b,13.34,70.22,9.20205,Dwarf Planet,Low,1,CoRoT-4
CoRoT-5 b,15.558,106.53,4.0378962,Gas Giant,High,0,CoRoT-5
CoRoT-6 b,13.068,77.09,8.886593,Dwarf Planet,Low,1,CoRoT-6
CoRoT-7 b,1.681,3.63,0.85359163,Gas Giant,High,0,CoRoT-7
CoRoT-7 c,2.83,14.68,3.698,Dwarf Planet,Low,1,CoRoT-7
CoRoT-7 d,4.31,48.42,8.966,Proto Planet,Low,1,CoRoT-7
CoRoT-8 b,6.39,106.48,6.21229,Garden World,Medium,1,CoRoT-8
CoRoT-9 b,11.949,31.45,95.272656,Chthonian Planet,Low,1,CoRoT-9
CoRoTID 223977153 b,6.389,18.6,6.71837,Chthonian Planet,Low,1,CoRoTID 223977153
CT Cha b,24.66,64.54,0,Proto Planet,Low,1,CT Cha
DE CVn b,12.4,30.82,4098.1,Proto Planet,Low,1,DE CVn
DENIS-P J082303.1-491201 b,11.9,107.78,246.36,Garden World,Medium,1,DENIS-P J082303.1-491201
DH Tau b,30.264,65.81,0,Chthonian Planet,Low,1,DH Tau
DMPP-1 b,5.29,116.61,18.57,Dwarf Planet,Low,1,DMPP-1
DMPP-1 c,3.06,31.58,6.584,Proto Planet,Low,1,DMPP-1
DMPP-1 d,1.65,110.89,2.882,Garden World,Medium,1,DMPP-1
DMPP-1 e,1.86,23.24,5.516,Garden World,Medium,1,DMPP-1
DMPP-2 b,14.3,68.86,5.2072,Gas Giant,High,0,DMPP-2
DMPP-3 A b,1.41,54.32,6.6732,Dwarf Planet,Low,1,DMPP-3
DMPP-4 b,3.53,11.98,3.4982,Ice Giant,High,0,DMPP-4
DP Leo b,12.7,45.39,10220,Garden World,Medium,1,DP Leo
DS Tuc A b,5.7,31.25,8.138268,Ice Giant,High,0,DS Tuc
EPIC 201170410.02,1.047,81.8,6.7987,Garden World,Medium,1,EPIC 201170410
EPIC 201238110 b,1.87,52.52,28.1656,Ice Giant,High,0,EPIC 201238110
EPIC 201427007 b,1.5,112.74,0.72091,Gas Giant,High,0,EPIC 201427007
EPIC 201497682 b,0.692,79.85,2.13174,Dwarf Planet,Low,1,EPIC 201497682
EPIC 201595106 b,1.565,83.71,0.87724,Chthonian Planet,Low,1,EPIC 201595106
EPIC 201615463 c,1.22,78.64,3.80464,Proto Planet,Low,1,K2-166
EPIC 201754305 d,1.03,67.14,2.71578,Proto Planet,Low,1,K2-16
EPIC 201757695.02,0.908,12.13,2.0478,Gas Giant,High,0,EPIC 201757695
EPIC 201833600 c,1,46.34,3.96151,Dwarf Planet,Low,1,K2-50
EPIC 201841433 b,1.04,58.87,4.1698,Proto Planet,Low,1,EPIC 201841433
EPIC 205950854 c,1.31,55.02,8.050722,Garden World,Medium,1,K2-168
EPIC 206024342 b,1.7,18.45,4.50756,Proto Planet,Low,1,EPIC 206024342
EPIC 206024342 c,1.4,49.88,0.911724,Chthonian Planet,Low,1,EPIC 206024342
EPIC 206024342 d,2.6,27.2,14.647531,Ice Giant,High,0,EPIC 206024342
EPIC 206032309 b,1.01,88.36,2.87814,Chthonian Planet,Low,1,EPIC 206032309
EPIC 206042996 b,1.7,89.01,5.2986,Proto Planet,Low,1,EPIC 206042996
EPIC 206042996 c,1.2,93.95,0.354884,Gas Giant,High,0,EPIC 206042996
EPIC 206215704 b,1,48.66,2.255436,Ice Giant,High,0,EPIC 206215704
EPIC 206317286 b,0.96,33.24,1.58252,Dwarf Planet,Low,1,EPIC 206317286
EPIC 206317286 c,2.094,117.57,17.515472,Garden World,Medium,1,EPIC 206317286
EPIC 211822797 b,1.92,117.19,21.1701963,Dwarf Planet,Low,1,EPIC 211822797
EPIC 211945201 b,5.76,51.95,19.49221,Ice Giant,High,0,EPIC 211945201
EPIC 212297394 b,1.48,36.96,2.289363,Garden World,Medium,1,EPIC 212297394
EPIC 212297394 c,2.27,55.6,5.213965,Gas Giant,High,0,EPIC 212297394
EPIC 212424622 b,2.17,97.21,18.0983,Chthonian Planet,Low,1,EPIC 212424622
EPIC 212499991 b,1.6,33.7,34.885,Dwarf Planet,Low,1,EPIC 212499991
EPIC 212587672 b,1.26,49.09,15.28078,Ice Giant,High,0,EPIC 212587672
EPIC 212587672 c,2.32,8.2,23.228555,Garden World,Medium,1,EPIC 212587672
EPIC 212624936 b,1.2,87.94,0.578657,Ice Giant,High,0,EPIC 212624936
EPIC 212624936 c,2.3,112.58,11.811437,Dwarf Planet,Low,1,EPIC 212624936
EPIC 212737443 b,2.586,60.77,13.603,Gas Giant,High,0,EPIC 212737443
EPIC 212737443 c,2.69,12.52,65.55,Proto Planet,Low,1,EPIC 212737443
EPIC 220492298 b,0.99,103.06,0.762406,Chthonian Planet,Low,1,EPIC 220492298
EPIC 220554210 c,1.6,95.67,0.70531,Proto Planet,Low,1,K2-282
EPIC 220674823 b,1.725,20.05,0.571292,Ice Giant,High,0,EPIC 220674823
EPIC 220674823 c,2.836,68.97,13.3397,Gas Giant,High,0,EPIC 220674823
EPIC 228836835 b,1.1,98.93,0.728113,Dwarf Planet,Low,1,EPIC 228836835
EPIC 229004835 b,2.332,39.26,16.141132,Chthonian Planet,Low,1,EPIC 229004835
EPIC 246851721 b,11.781,75.34,6.180235,Gas Giant,High,0,EPIC 246851721
EPIC 248847494 b,12.442,17.7,3650,Gas Giant,High,0,EPIC 248847494
EPIC 249893012 b,1.95,79.87,3.5951,Dwarf Planet,Low,1,EPIC 249893012
EPIC 249893012 c,3.67,120.03,15.624,Garden World,Medium,1,EPIC 249893012
EPIC 249893012 d,3.94,13.11,35.747,Dwarf Planet,Low,1,EPIC 249893012
eps CrB b,2.03,23.27,40.9903986,Gas Giant,High,0,eps CrB
eps Eri b,1.63,31.06,37.3331536,Proto Planet,Low,1,eps Eri
eps Ind A b,1.4,73.38,14.435889,Dwarf Planet,Low,1,eps Ind
eps Tau b,2.66,115.66,29.393195,Gas Giant,High,0,eps Tau
FU Tau b,12.2,61.59,0,Gas Giant,High,0,FU Tau
G 196-3 b,12,61.47,0,Dwarf Planet,Low,1,G 196-3
G 264-012 b,1.39,44.67,2.30538,Proto Planet,Low,1,G 264-012
G 264-012 c,1.76,71.36,8.0518,Ice Giant,High,0,G 264-012
G 9-40 b,1.9,67.17,5.7459982,Ice Giant,High,0,G 9-40
Gaia-1 b,13.776,62.13,3.052524,Ice Giant,High,0,Gaia-1
Gaia-2 b,14.818,49.78,3.6915224,Garden World,Medium,1,Gaia-2
Gaia22dkvL b,14.1,119.7,0,Dwarf Planet,Low,1,Gaia22dkvL
gam Cep b,2.64,115.76,48.630408,Proto Planet,Low,1,gam Cep
gam Lib b,3.32,14.93,6.03356196,Gas Giant,High,0,gam Lib
gam Lib c,1.48,15.3,3.0255955,Dwarf Planet,Low,1,gam Lib
gam Psc b,2.37,89.43,51.1309704,Proto Planet,Low,1,gam Psc
gam1 Leo b,2.49,24.31,28.625653,Proto Planet,Low,1,gam Leo
GJ 1002 b,1.03,86.5,10.3465,Proto Planet,Low,1,GJ 1002
GJ 1002 c,1.1,18.08,21.202,Chthonian Planet,Low,1,GJ 1002
GJ 1061 b,1.1,11.64,3.204,Ice Giant,High,0,GJ 1061
GJ 1061 c,1.18,2.22,6.689,Ice Giant,High,0,GJ 1061
GJ 1061 d,1.16,39.1,13.031,Garden World,Medium,1,GJ 1061
GJ 1132 b,1.192,59.21,1.62892911,Garden World,Medium,1,GJ 1132
GJ 1132 c,1.43,33.78,8.929,Chthonian Planet,Low,1,GJ 1132
GJ 1148 b,11.9,82.17,41.38,Dwarf Planet,Low,1,GJ 1148
GJ 1148 c,9.71,40.73,532.58,Dwarf Planet,Low,1,GJ 1148
GJ 1151 c,3.25,45.61,389.7,Gas Giant,High,0,GJ 1151
GJ 1214 b,2.733,73.22,1.58040453,Garden World,Medium,1,GJ 1214
GJ 1252 b,1.193,37.87,0.5182331,Proto Planet,Low,1,GJ 1252
GJ 1265 b,2.63,22.22,3.6511,Ice Giant,High,0,GJ 1265
GJ 143 b,2.61,16.67,35.61253,Ice Giant,High,0,GJ 143
GJ 15 A b,1.55,111.11,11.4407,Ice Giant,High,0,GJ 15
GJ 15 A c,6.67,43.57,7600,Dwarf Planet,Low,1,GJ 15
GJ 160.2 b,3.17,95.44,5.2354,Garden World,Medium,1,GJ 160.2
GJ 163 b,3.25,41.29,8.63182,Gas Giant,High,0,GJ 163
GJ 163 c,2.5,47.92,25.63058,Proto Planet,Low,1,GJ 163
GJ 163 d,5.92,25.13,603.95116,Dwarf Planet,Low,1,GJ 163
GJ 179 b,13.8,66.52,2288,Gas Giant,High,0,GJ 179
GJ 180 b,2.43,105.89,17.133,Dwarf Planet,Low,1,GJ 180
GJ 180 c,2.41,6.94,24.329,Gas Giant,High,0,GJ 180
GJ 180 d,2.66,39.14,106.3,Ice Giant,High,0,GJ 180
GJ 2030 b,2.03,113.97,2.38129,Gas Giant,High,0,GJ 2030
GJ 2030 c,12.3,8.24,25533.11353,Dwarf Planet,Low,1,GJ 2030
GJ 2056 b,4.17,87.3,69.971,Ice Giant,High,0,GJ 2056
GJ 229 A c,2.87,47.1,121.93268,Dwarf Planet,Low,1,GJ 229
GJ 229 b,3.97,113.61,579.47495,Gas Giant,High,0,GJ 229
GJ 238 b,0.566,31.01,1.7446999,Garden World,Medium,1,GJ 238
GJ 251 b,1.83,51.57,14.238,Dwarf Planet,Low,1,GJ 251
GJ 27.1 b,3.66,52.17,15.819,Proto Planet,Low,1,GJ 27.1
GJ 273 b,1.51,113.56,18.6498,Gas Giant,High,0,GJ 273
GJ 273 c,1.06,17.65,4.7234,Gas Giant,High,0,GJ 273
GJ 3021 b,13.1,61.44,133.71,Chthonian Planet,Low,1,GJ 3021
GJ 3082 b,2.79,107.67,11.949,Garden World,Medium,1,GJ 3082
GJ 3090 b,2.13,23.63,2.8531054,Chthonian Planet,Low,1,GJ 3090
GJ 3138 b,1.18,99.18,1.22003,Chthonian Planet,Low,1,GJ 3138
GJ 3138 c,1.88,89.99,5.974,Proto Planet,Low,1,GJ 3138
GJ 3138 d,3.23,104.72,257.8,Gas Giant,High,0,GJ 3138
GJ 317 b,13.3,15.22,695.66,Chthonian Planet,Low,1,GJ 317
GJ 317 c,13.5,20.37,6739.323,Chthonian Planet,Low,1,GJ 317
GJ 3222 b,3.4,112.02,10.66669,Ice Giant,High,0,HIP 15799
GJ 328 b,13.3,90.84,3771,Proto Planet,Low,1,GJ 328
GJ 328 c,4.91,7.16,241.8,Proto Planet,Low,1,GJ 328
GJ 3293 b,5.19,63,30.5987,Gas Giant,High,0,GJ 3293
GJ 3293 c,4.87,93.81,122.6196,Dwarf Planet,Low,1,GJ 3293
GJ 3293 d,2.67,20.29,48.1345,Chthonian Planet,Low,1,GJ 3293
GJ 3293 e,1.63,16.15,13.2543,Chthonian Planet,Low,1,GJ 3293
GJ 3323 b,1.23,17.49,5.3636,Proto Planet,Low,1,GJ 3323
GJ 3323 c,1.32,123.3,40.54,Dwarf Planet,Low,1,GJ 3323
GJ 3341 b,2.46,28.33,14.207,Dwarf Planet,Low,1,GJ 3341
GJ 338 B b,3.25,51.55,24.422,Dwarf Planet,Low,1,GJ 338
GJ 3470 b,4.57,34.39,3.3366496,Dwarf Planet,Low,1,GJ 3470
GJ 3473 b,1.264,82.77,1.1980035,Dwarf Planet,Low,1,GJ 3473
GJ 3473 c,2.63,0.4,15.509,Chthonian Planet,Low,1,GJ 3473
GJ 3512 b,14.3,52.82,203.69,Proto Planet,Low,1,GJ 3512
GJ 3512 c,9.32,100.79,1599.6,Gas Giant,High,0,GJ 3512
GJ 357 b,1.2,103.63,3.9306,Chthonian Planet,Low,1,GJ 357
GJ 357 c,1.66,73.24,9.1247,Gas Giant,High,0,GJ 357
GJ 357 d,2.34,6.71,55.661,Proto Planet,Low,1,GJ 357
GJ 3634 b,2.83,76.17,2.64561,Chthonian Planet,Low,1,GJ 3634
GJ 367 b,0.699,76.06,0.3219225,Proto Planet,Low,1,GJ 367
GJ 367 c,1.86,103.06,11.5301,Dwarf Planet,Low,1,GJ 367
GJ 367 d,2.33,115.85,34.369,Garden World,Medium,1,GJ 367
GJ 3779 b,2.75,106.38,3.0232,Garden World,Medium,1,GJ 3779
GJ 3929 b,1.09,61.4,2.616235,Gas Giant,High,0,GJ 3929
GJ 3929 c,2.26,87.52,15.04,Dwarf Planet,Low,1,GJ 3929
GJ 393 b,1.17,20.08,7.02679,Proto Planet,Low,1,GJ 393
GJ 3942 b,2.57,6.39,6.905,Gas Giant,High,0,GJ 3942
GJ 3988 b,1.74,46.23,6.9442,Ice Giant,High,0,GJ 3988
GJ 3998 b,1.38,7.56,2.64977,Proto Planet,Low,1,GJ 3998
GJ 3998 c,2.38,9.84,13.74,Dwarf Planet,Low,1,GJ 3998
GJ 411 b,1.45,82.86,12.9394,Chthonian Planet,Low,1,GJ 411
GJ 414 A b,2.63,26.23,50.8,Dwarf Planet,Low,1,GJ 414
GJ 414 A c,8.4,94.79,749.83,Proto Planet,Low,1,GJ 414
GJ 422 b,3.33,16.79,20.129,Proto Planet,Low,1,GJ 422
GJ 4276 b,4.22,84.13,13.352,Ice Giant,High,0,GJ 4276
GJ 433 b,2.33,67.44,7.3705,Ice Giant,High,0,GJ 433
GJ 433 c,6.27,42.23,5094.105,Ice Giant,High,0,GJ 433
GJ 433 d,2.14,25.06,36.059,Chthonian Planet,Low,1,GJ 433
GJ 436 b,4.17,53.58,2.64388312,Ice Giant,High,0,GJ 436
GJ 463 b,13,60.59,3448,Ice Giant,High,0,GJ 463
GJ 480 b,3.69,64.28,9.567,Ice Giant,High,0,GJ 480
GJ 486 b,1.289,40.78,1.46712127,Gas Giant,High,0,GJ 486
GJ 504 b,13,41.57,0,Ice Giant,High,0,GJ 504
GJ 514 b,2.13,96.94,140.43,Ice Giant,High,0,GJ 514
GJ 536 b,2.17,53.38,8.7076,Ice Giant,High,0,GJ 536
GJ 581 b,4.11,44.89,5.3686,Garden World,Medium,1,GJ 581
GJ 581 c,2.21,94.84,12.914,Proto Planet,Low,1,GJ 581
GJ 581 e,1.17,74.75,3.149,Proto Planet,Low,1,GJ 581
GJ 625 b,1.49,57.89,14.628,Ice Giant,High,0,GJ 625
GJ 649 b,10.8,93.57,600.1,Gas Giant,High,0,GJ 649
GJ 667 C b,2.25,36.61,7.203,Garden World,Medium,1,GJ 667
GJ 667 C c,1.77,105.11,28.14,Gas Giant,High,0,GJ 667
GJ 667 C e,1.45,47.81,62.24,Ice Giant,High,0,GJ 667
GJ 667 C f,1.45,34.55,39.026,Gas Giant,High,0,GJ 667
GJ 667 C g,1.99,74.8,256.2,Gas Giant,High,0,GJ 667
GJ 674 b,3.33,38.58,4.6938,Ice Giant,High,0,GJ 674
GJ 676 A b,12.8,32.53,1051.44521,Dwarf Planet,Low,1,GJ 676
GJ 676 A c,12.3,65.88,13921.42302,Ice Giant,High,0,GJ 676
GJ 676 A d,1.78,76.71,3.60076,Chthonian Planet,Low,1,GJ 676
GJ 676 A e,2.47,36.6,35.47358,Gas Giant,High,0,GJ 676
GJ 680 b,12,122.94,17281.66514,Proto Planet,Low,1,HIP 86057
GJ 682 b,1.93,31.45,17.478,Gas Giant,High,0,GJ 682
GJ 682 c,2.89,88.45,57.32,Ice Giant,High,0,GJ 682
GJ 685 b,2.95,1.87,24.16,Garden World,Medium,1,GJ 685
GJ 687 b,4.32,22.89,38.142,Gas Giant,High,0,GJ 687
GJ 687 c,4.14,90.58,727.562,Gas Giant,High,0,GJ 687
GJ 720 A b,3.77,31.69,19.466,Ice Giant,High,0,GJ 720
GJ 724 b,3.27,107.78,5.101284,Gas Giant,High,0,GJ 724
GJ 740 b,1.53,80.43,2.37756,Proto Planet,Low,1,GJ 740
GJ 806 b,1.331,98.25,0.9263237,Chthonian Planet,Low,1,GJ 806
GJ 806 c,2.28,81.71,6.64064,Garden World,Medium,1,GJ 806
GJ 832 b,13.8,110.69,3853,Dwarf Planet,Low,1,GJ 832
GJ 849 b,13.9,63.1,1925.31,Garden World,Medium,1,GJ 849
GJ 849 c,13.8,103.84,5990,Chthonian Planet,Low,1,GJ 849
GJ 86 b,12.9,93.03,15.76491,Dwarf Planet,Low,1,GJ 86
GJ 876 b,13.3,76.01,61.1166,Proto Planet,Low,1,GJ 876
GJ 876 c,14,120.32,30.0881,Dwarf Planet,Low,1,GJ 876
GJ 876 d,2.51,44.3,1.93778,Garden World,Medium,1,GJ 876
GJ 876 e,3.92,95.07,124.26,Chthonian Planet,Low,1,GJ 876
GJ 887 b,1.88,76.41,9.262,Proto Planet,Low,1,GJ 887
GJ 887 c,2.67,79.75,21.789,Gas Giant,High,0,GJ 887
GJ 896 A b,13.3,39.37,284.39,Proto Planet,Low,1,GJ 896
GJ 900 b,12.4,6.5,0,Ice Giant,High,0,GJ 900
GJ 9066 c,9.6,72.33,771.36,Proto Planet,Low,1,GJ 9066
GJ 9404 b,3.48,37.27,13.4586,Ice Giant,High,0,GJ 9404
GJ 96 b,4.67,8.06,73.94,Proto Planet,Low,1,GJ 96
GJ 9689 b,3.07,98.81,18.27,Gas Giant,High,0,GJ 9689
GJ 9714 b,12.5,31.82,19240.75467,Gas Giant,High,0,HIP 103768
GJ 9827 b,1.44,45.32,1.208974,Chthonian Planet,Low,1,GJ 9827
